| time |       in0        |       in1        |load |       out0       |       out1       |
| 36+  | 1111111111111101 | 1111111111111101 |  0  | 1111111111111110 | 1111111111111110 |
| 37   | 1111111111111101 | 1111111111111101 |  0  | 1111111111111110 | 1111111111111110 |
| 37+  | 1111111111111101 | 1111111111111101 |  1  | 1111111111111110 | 1111111111111110 |
| 38   | 1111111111111101 | 1111111111111101 |  1  | 1111111111111101 | 1111111111111101 |
| 38+  | 1111111111111011 | 1111111111111011 |  0  | 1111111111111101 | 1111111111111101 |
| 39   | 1111111111111011 | 1111111111111011 |  0  | 1111111111111101 | 1111111111111101 |
| 39+  | 1111111111111011 | 1111111111111011 |  1  | 1111111111111101 | 1111111111111101 |
| 40   | 1111111111111011 | 1111111111111011 |  1  | 1111111111111011 | 1111111111111011 |
| 40+  | 1111111111110111 | 1111111111110111 |  0  | 1111111111111011 | 1111111111111011 |
| 41   | 1111111111110111 | 1111111111110111 |  0  | 1111111111111011 | 1111111111111011 |
| 41+  | 1111111111110111 | 1111111111110111 |  1  | 1111111111111011 | 1111111111111011 |
| 42   | 1111111111110111 | 1111111111110111 |  1  | 1111111111110111 | 1111111111110111 |
| 42+  | 1111111111101111 | 1111111111101111 |  0  | 1111111111110111 | 1111111111110111 |
| 43   | 1111111111101111 | 1111111111101111 |  0  | 1111111111110111 | 1111111111110111 |
| 43+  | 1111111111101111 | 1111111111101111 |  1  | 1111111111110111 | 1111111111110111 |
| 44   | 1111111111101111 | 1111111111101111 |  1  | 1111111111101111 | 1111111111101111 |
| 44+  | 1111111111011111 | 1111111111011111 |  0  | 1111111111101111 | 1111111111101111 |
| 45   | 1111111111011111 | 1111111111011111 |  0  | 1111111111101111 | 1111111111101111 |
| 45+  | 1111111111011111 | 1111111111011111 |  1  | 1111111111101111 | 1111111111101111 |
| 46   | 1111111111011111 | 1111111111011111 |  1  | 1111111111011111 | 1111111111011111 |
| 46+  | 1111111110111111 | 1111111110111111 |  0  | 1111111111011111 | 1111111111011111 |
| 47   | 1111111110111111 | 1111111110111111 |  0  | 1111111111011111 | 1111111111011111 |
| 47+  | 1111111110111111 | 1111111110111111 |  1  | 1111111111011111 | 1111111111011111 |
| 48   | 1111111110111111 | 1111111110111111 |  1  | 1111111110111111 | 1111111110111111 |
| 48+  | 1111111101111111 | 1111111101111111 |  0  | 1111111110111111 | 1111111110111111 |
| 49   | 1111111101111111 | 1111111101111111 |  0  | 1111111110111111 | 1111111110111111 |
| 49+  | 1111111101111111 | 1111111101111111 |  1  | 1111111110111111 | 1111111110111111 |
| 50   | 1111111101111111 | 1111111101111111 |  1  | 1111111101111111 | 1111111101111111 |
| 50+  | 1111111011111111 | 1111111011111111 |  0  | 1111111101111111 | 1111111101111111 |
| 51   | 1111111011111111 | 1111111011111111 |  0  | 1111111101111111 | 1111111101111111 |
| 51+  | 1111111011111111 | 1111111011111111 |  1  | 1111111101111111 | 1111111101111111 |
| 52   | 1111111011111111 | 1111111011111111 |  1  | 1111111011111111 | 1111111011111111 |
| 52+  | 1111110111111111 | 1111110111111111 |  0  | 1111111011111111 | 1111111011111111 |
| 53   | 1111110111111111 | 1111110111111111 |  0  | 1111111011111111 | 1111111011111111 |
| 53+  | 1111110111111111 | 1111110111111111 |  1  | 1111111011111111 | 1111111011111111 |
| 54   | 1111110111111111 | 1111110111111111 |  1  | 1111110111111111 | 1111110111111111 |
| 54+  | 1111101111111111 | 1111101111111111 |  0  | 1111110111111111 | 1111110111111111 |
| 55   | 1111101111111111 | 1111101111111111 |  0  | 1111110111111111 | 1111110111111111 |
| 55+  | 1111101111111111 | 1111101111111111 |  1  | 1111110111111111 | 1111110111111111 |
| 56   | 1111101111111111 | 1111101111111111 |  1  | 1111101111111111 | 1111101111111111 |
| 56+  | 1111011111111111 | 1111011111111111 |  0  | 1111101111111111 | 1111101111111111 |
| 57   | 1111011111111111 | 1111011111111111 |  0  | 1111101111111111 | 1111101111111111 |
| 57+  | 1111011111111111 | 1111011111111111 |  1  | 1111101111111111 | 1111101111111111 |
| 58   | 1111011111111111 | 1111011111111111 |  1  | 1111011111111111 | 1111011111111111 |
| 58+  | 1110111111111111 | 1110111111111111 |  0  | 1111011111111111 | 1111011111111111 |
| 59   | 1110111111111111 | 1110111111111111 |  0  | 1111011111111111 | 1111011111111111 |
| 59+  | 1110111111111111 | 1110111111111111 |  1  | 1111011111111111 | 1111011111111111 |
| 60   | 1110111111111111 | 1110111111111111 |  1  | 1110111111111111 | 1110111111111111 |
| 60+  | 1101111111111111 | 1101111111111111 |  0  | 1110111111111111 | 1110111111111111 |
| 61   | 1101111111111111 | 1101111111111111 |  0  | 1110111111111111 | 1110111111111111 |
| 61+  | 1101111111111111 | 1101111111111111 |  1  | 1110111111111111 | 1110111111111111 |
| 62   | 1101111111111111 | 1101111111111111 |  1  | 1101111111111111 | 1101111111111111 |
| 62+  | 1011111111111111 | 1011111111111111 |  0  | 1101111111111111 | 1101111111111111 |
| 63   | 1011111111111111 | 1011111111111111 |  0  | 1101111111111111 | 1101111111111111 |
| 63+  | 1011111111111111 | 1011111111111111 |  1  | 1101111111111111 | 1101111111111111 |
| 64   | 1011111111111111 | 1011111111111111 |  1  | 1011111111111111 | 1011111111111111 |
| 64+  | 0111111111111111 | 0111111111111111 |  0  | 1011111111111111 | 1011111111111111 |
| 65   | 0111111111111111 | 0111111111111111 |  0  | 1011111111111111 | 1011111111111111 |
| 65+  | 0111111111111111 | 0111111111111111 |  1  | 1011111111111111 | 1011111111111111 |
| 66   | 0111111111111111 | 0111111111111111 |  1  | 0111111111111111 | 0111111111111111 |
